,compound,create_date,negative,neutral,news_media,positive,tweets_ago
0,-0.5994,2018-04-09 19:01:07+00:00,0.17,0.83,BBC,0.0,0
1,-0.0772,2018-04-09 18:04:06+00:00,0.064,0.936,BBC,0.0,-1
2,0.7184,2018-04-09 17:02:07+00:00,0.0,0.727,BBC,0.273,-2
3,0.0,2018-04-09 16:43:45+00:00,0.0,1.0,BBC,0.0,-3
4,0.0,2018-04-09 16:34:07+00:00,0.0,1.0,BBC,0.0,-4
5,0.0,2018-04-09 16:26:04+00:00,0.0,1.0,BBC,0.0,-5
6,0.6239,2018-04-09 16:04:04+00:00,0.0,0.494,BBC,0.506,-6
7,0.4003,2018-04-09 15:42:30+00:00,0.0,0.856,BBC,0.144,-7
8,0.5411,2018-04-09 15:29:26+00:00,0.0,0.811,BBC,0.189,-8
9,0.5267,2018-04-09 15:07:08+00:00,0.0,0.793,BBC,0.207,-9
10,0.5267,2018-04-09 14:02:03+00:00,0.0,0.855,BBC,0.145,-10
11,0.4404,2018-04-09 13:01:05+00:00,0.0,0.707,BBC,0.293,-11
12,0.0,2018-04-09 12:31:27+00:00,0.0,1.0,BBC,0.0,-12
13,0.0,2018-04-09 12:28:16+00:00,0.0,1.0,BBC,0.0,-13
14,0.34,2018-04-09 12:14:30+00:00,0.0,0.888,BBC,0.112,-14
15,0.6705,2018-04-09 12:12:54+00:00,0.0,0.792,BBC,0.208,-15
16,0.0,2018-04-09 12:02:02+00:00,0.0,1.0,BBC,0.0,-16
17,0.0,2018-04-09 11:50:07+00:00,0.0,1.0,BBC,0.0,-17
18,-0.2023,2018-04-09 11:27:01+00:00,0.098,0.833,BBC,0.068,-18
19,0.6757,2018-04-09 11:16:03+00:00,0.083,0.649,BBC,0.268,-19
20,0.0,2018-04-09 10:41:24+00:00,0.0,1.0,BBC,0.0,-20
21,0.0,2018-04-09 08:56:59+00:00,0.0,1.0,BBC,0.0,-21
22,-0.3252,2018-04-09 08:40:53+00:00,0.109,0.891,BBC,0.0,-22
23,0.0,2018-04-09 08:01:01+00:00,0.0,1.0,BBC,0.0,-23
24,-0.3182,2018-04-09 07:27:04+00:00,0.103,0.897,BBC,0.0,-24
25,0.0,2018-04-09 07:00:14+00:00,0.0,1.0,BBC,0.0,-25
26,0.0,2018-04-08 19:02:05+00:00,0.0,1.0,BBC,0.0,-26
27,0.4939,2018-04-08 18:03:03+00:00,0.0,0.686,BBC,0.314,-27
28,0.25,2018-04-08 17:25:08+00:00,0.088,0.765,BBC,0.147,-28
29,0.0,2018-04-08 17:07:02+00:00,0.0,1.0,BBC,0.0,-29
30,0.0,2018-04-08 16:40:55+00:00,0.0,1.0,BBC,0.0,-30
31,-0.2263,2018-04-08 16:07:03+00:00,0.106,0.894,BBC,0.0,-31
32,0.0,2018-04-08 15:31:00+00:00,0.0,1.0,BBC,0.0,-32
33,0.0,2018-04-08 15:11:04+00:00,0.0,1.0,BBC,0.0,-33
34,-0.2023,2018-04-08 13:54:07+00:00,0.189,0.811,BBC,0.0,-34
35,0.875,2018-04-08 13:23:39+00:00,0.0,0.607,BBC,0.393,-35
36,0.2732,2018-04-08 13:03:04+00:00,0.0,0.488,BBC,0.512,-36
37,-0.0772,2018-04-08 11:00:15+00:00,0.064,0.936,BBC,0.0,-37
38,0.5859,2018-04-08 10:15:06+00:00,0.0,0.787,BBC,0.213,-38
39,0.3818,2018-04-08 10:01:07+00:00,0.0,0.88,BBC,0.12,-39
40,0.0,2018-04-08 09:08:02+00:00,0.0,1.0,BBC,0.0,-40
41,0.0,2018-04-08 08:17:18+00:00,0.0,1.0,BBC,0.0,-41
42,0.6369,2018-04-08 08:08:07+00:00,0.0,0.792,BBC,0.208,-42
43,0.3612,2018-04-08 07:02:06+00:00,0.0,0.783,BBC,0.217,-43
44,0.5719,2018-04-07 18:00:22+00:00,0.0,0.748,BBC,0.252,-44
45,0.0,2018-04-07 17:19:26+00:00,0.0,1.0,BBC,0.0,-45
46,-0.7269,2018-04-07 17:04:03+00:00,0.405,0.523,BBC,0.072,-46
47,0.6515,2018-04-07 16:00:23+00:00,0.0,0.581,BBC,0.419,-47
48,0.6908,2018-04-07 15:01:03+00:00,0.0,0.759,BBC,0.241,-48
49,0.0,2018-04-07 14:33:46+00:00,0.0,1.0,BBC,0.0,-49
50,0.0,2018-04-07 14:00:31+00:00,0.0,1.0,BBC,0.0,-50
51,-0.5719,2018-04-07 13:00:20+00:00,0.222,0.778,BBC,0.0,-51
52,-0.296,2018-04-07 12:07:08+00:00,0.154,0.748,BBC,0.098,-52
53,0.0,2018-04-07 11:19:19+00:00,0.0,1.0,BBC,0.0,-53
54,0.0,2018-04-07 11:00:57+00:00,0.0,1.0,BBC,0.0,-54
55,0.69,2018-04-07 11:00:18+00:00,0.0,0.749,BBC,0.251,-55
56,0.0,2018-04-07 10:26:52+00:00,0.0,1.0,BBC,0.0,-56
57,0.0,2018-04-07 10:05:06+00:00,0.0,1.0,BBC,0.0,-57
58,-0.8658,2018-04-07 09:00:12+00:00,0.363,0.637,BBC,0.0,-58
59,0.0,2018-04-07 08:00:16+00:00,0.0,1.0,BBC,0.0,-59
60,0.34,2018-04-07 07:54:05+00:00,0.0,0.906,BBC,0.094,-60
61,0.4588,2018-04-07 07:03:06+00:00,0.0,0.769,BBC,0.231,-61
62,0.0,2018-04-06 19:48:37+00:00,0.0,1.0,BBC,0.0,-62
63,0.0,2018-04-06 18:07:07+00:00,0.0,1.0,BBC,0.0,-63
64,0.0,2018-04-06 17:32:05+00:00,0.0,1.0,BBC,0.0,-64
65,0.0,2018-04-06 16:13:08+00:00,0.0,1.0,BBC,0.0,-65
66,-0.1531,2018-04-06 16:08:04+00:00,0.124,0.78,BBC,0.096,-66
67,-0.7777,2018-04-06 16:02:36+00:00,0.332,0.621,BBC,0.047,-67
68,0.6037,2018-04-06 15:23:45+00:00,0.0,0.64,BBC,0.36,-68
69,0.8126,2018-04-06 15:22:01+00:00,0.0,0.72,BBC,0.28,-69
70,0.0,2018-04-06 15:20:18+00:00,0.0,1.0,BBC,0.0,-70
71,0.0,2018-04-06 15:02:33+00:00,0.0,1.0,BBC,0.0,-71
72,0.5499,2018-04-06 15:02:05+00:00,0.282,0.332,BBC,0.385,-72
73,-0.5849,2018-04-06 14:30:39+00:00,0.31,0.559,BBC,0.13,-73
74,0.0,2018-04-06 14:07:06+00:00,0.0,1.0,BBC,0.0,-74
75,-0.4215,2018-04-06 13:02:05+00:00,0.171,0.741,BBC,0.088,-75
76,0.0,2018-04-06 12:18:09+00:00,0.0,1.0,BBC,0.0,-76
77,0.2023,2018-04-06 12:03:05+00:00,0.0,0.899,BBC,0.101,-77
78,0.8617,2018-04-06 11:32:15+00:00,0.0,0.689,BBC,0.311,-78
79,0.0,2018-04-06 11:00:06+00:00,0.0,1.0,BBC,0.0,-79
80,0.0,2018-04-06 10:10:03+00:00,0.0,1.0,BBC,0.0,-80
81,0.0,2018-04-06 08:58:33+00:00,0.0,1.0,BBC,0.0,-81
82,0.0,2018-04-06 08:30:51+00:00,0.0,1.0,BBC,0.0,-82
83,0.25,2018-04-06 08:08:50+00:00,0.0,0.905,BBC,0.095,-83
84,0.0,2018-04-06 08:00:17+00:00,0.0,1.0,BBC,0.0,-84
85,0.4579,2018-04-06 07:00:09+00:00,0.067,0.779,BBC,0.154,-85
86,-0.6908,2018-04-05 20:02:00+00:00,0.217,0.783,BBC,0.0,-86
87,0.7096,2018-04-05 18:00:24+00:00,0.0,0.629,BBC,0.371,-87
88,0.0,2018-04-05 17:02:05+00:00,0.0,1.0,BBC,0.0,-88
89,-0.765,2018-04-05 16:00:17+00:00,0.32,0.68,BBC,0.0,-89
90,0.0,2018-04-05 15:55:28+00:00,0.0,1.0,BBC,0.0,-90
